DATE,TIME,実績(万kW)
2018/2/7,10:00,4447
2018/2/7,11:00,4307
2018/2/7,12:00,4046
2018/2/7,13:00,4122
2018/2/7,14:00,4086
2018/2/7,15:00,4102
2018/2/7,16:00,4276
2018/2/7,17:00,4559
2018/2/7,18:00,4652
2018/2/7,19:00,4587
2018/2/7,20:00,4490
2018/2/7,21:00,4329
2018/2/7,22:00,4115
2018/2/7,23:00,3854
2018/2/8,0:00,3561
2018/2/8,1:00,3384
2018/2/8,2:00,3290
2018/2/8,3:00,3239
2018/2/8,4:00,3275
2018/2/8,5:00,3527
2018/2/8,6:00,4066
2018/2/8,7:00,4396
2018/2/8,8:00,4597
2018/2/8,9:00,4640
2018/2/8,10:00,4465
2018/2/8,11:00,4313
2018/2/8,12:00,4065
2018/2/8,13:00,4160
2018/2/8,14:00,4135
2018/2/8,15:00,4152
2018/2/8,16:00,4326
2018/2/8,17:00,4615
2018/2/8,18:00,4716
2018/2/8,19:00,4643
2018/2/8,20:00,4532
2018/2/8,21:00,4365
2018/2/8,22:00,4152
2018/2/8,23:00,3893
2018/2/9,0:00,3581
2018/2/9,1:00,3405
2018/2/9,2:00,3306
2018/2/9,3:00,3261
2018/2/9,4:00,3301
2018/2/9,5:00,3546
2018/2/9,6:00,4088
2018/2/9,7:00,4399
2018/2/9,8:00,4602
2018/2/9,9:00,4655
2018/2/9,10:00,4482
2018/2/9,11:00,4328
2018/2/9,12:00,4052
2018/2/9,13:00,4100
2018/2/9,14:00,4043
2018/2/9,15:00,4053
2018/2/9,16:00,4164
2018/2/9,17:00,4441
2018/2/9,18:00,4527
2018/2/9,19:00,4452
2018/2/9,20:00,4353
2018/2/9,21:00,4199
2018/2/9,22:00,4032
2018/2/9,23:00,3820
2018/2/10,0:00,3550
2018/2/10,1:00,3366
2018/2/10,2:00,3243
2018/2/10,3:00,3154
2018/2/10,4:00,3141
2018/2/10,5:00,3244
2018/2/10,6:00,3500
2018/2/10,7:00,3765
2018/2/10,8:00,4051
2018/2/10,9:00,4117
2018/2/10,10:00,4056
2018/2/10,11:00,3920
2018/2/10,12:00,3741
2018/2/10,13:00,3687
2018/2/10,14:00,3514
2018/2/10,15:00,3516
2018/2/10,16:00,3653
2018/2/10,17:00,3890
2018/2/10,18:00,3954
2018/2/10,19:00,3884
2018/2/10,20:00,3790
2018/2/10,21:00,3635
2018/2/10,22:00,3446
2018/2/10,23:00,3236
2018/2/11,0:00,2986
2018/2/11,1:00,2835
2018/2/11,2:00,2759
2018/2/11,3:00,2721
2018/2/11,4:00,2714
2018/2/11,5:00,2761
2018/2/11,6:00,2892
2018/2/11,7:00,3088
2018/2/11,8:00,3286
